data,hora,t,prec,q_obs
10/27/2002,0,9405.5,0,0.105085316
10/27/2002,0.020833333,9406,0,0.105085316
10/27/2002,0.041666667,9406.5,0,0.105085316
10/27/2002,0.0625,9407,0,0.105085316
10/27/2002,0.083333333,9407.5,0,0.105085316
10/28/2002,0.104166667,9408,0,0.105085316
10/28/2002,0.125,9408.5,0,0.105085316
10/28/2002,0.145833333,9409,0,0.105296455
10/28/2002,0.166666667,9409.5,0.1,0.105502317
10/28/2002,0.1875,9410,0,0.105502317
10/28/2002,0.208333333,9410.5,0,0.105708581
10/28/2002,0.229166667,9411,0,0.105708581
10/28/2002,0.25,9411.5,0,0.105708581
10/28/2002,0.270833333,9412,0,0.105920973
10/28/2002,0.291666667,9412.5,0,0.105920973
10/28/2002,0.3125,9413,0,0.106341289
10/28/2002,0.333333333,9413.5,0,0.106341289
10/28/2002,0.354166667,9414,0,0.106341289
10/28/2002,0.375,9414.5,0,0.106549194
10/28/2002,0.395833333,9415,0,0.106757505
10/28/2002,0.416666667,9415.5,0,0.106549194
10/28/2002,0.4375,9416,0,0.106549194
10/28/2002,0.458333333,9416.5,0,0.106128055
10/28/2002,0.479166667,9417,0,0.105920973
10/28/2002,0.5,9417.5,0,0.105502317
10/28/2002,0.520833333,9418,0,0.1048746
10/28/2002,0.541666667,9418.5,0,0.104664307
10/28/2002,0.5625,9419,0.1,0.103844177
10/28/2002,0.583333333,9419.5,0,0.103226326
10/28/2002,0.604166667,9420,0,0.102612151
10/28/2002,0.625,9420.5,0,0.101808101
10/28/2002,0.645833333,9421,0,0.101004892
10/28/2002,0.666666667,9421.5,0,0.100007085
10/28/2002,0.6875,9422,0,0.099611804
10/28/2002,0.708333333,9422.5,0,0.098825924
10/28/2002,0.729166667,9423,0,0.098435311
10/28/2002,0.75,9423.5,0,0.098435311
10/28/2002,0.770833333,9424,0,0.098435311
10/28/2002,0.791666667,9424.5,0,0.09823793
10/28/2002,0.8125,9425,0,0.098435311
10/28/2002,0.833333333,9425.5,0,0.098435311
10/28/2002,0.854166667,9426,0,0.098435311
10/28/2002,0.875,9426.5,0,0.098633089
10/28/2002,0.895833333,9427,0,0.098633089
10/28/2002,0.916666667,9427.5,0,0.099218086
10/28/2002,0.9375,9428,0,0.099611804
10/28/2002,0.958333333,9428.5,0,0.099611804
10/28/2002,0.979166667,9429,0,0.100007085
10/28/2002,0,9429.5,0,0.100202606
10/28/2002,0.020833333,9430,0,0.100403934
10/28/2002,0.041666667,9430.5,0,0.100403934
10/28/2002,0.0625,9431,0,0.100605668
10/28/2002,0.083333333,9431.5,0,0.101207833
10/29/2002,0.104166667,9432,0,0.101405701
